[01:00:00.000049809] (+?.?????????) 0 heap_alloc: { pid = 0, fn1 = 0x8001BEE, fn2 = 0x8001ACA, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001A840, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000121809] (+0.000072000) 0 heap_alloc: { pid = 0, fn1 = 0x8001AD6, fn2 = 0x8002076, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001A940, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.000234476] (+0.000112667) 0 heap_alloc: { pid = 0, fn1 = 0x8001BEE, fn2 = 0x8001AEE, fn3 = 0x8005B78, fn4 = 0x8005984, address = 0x2001AC10, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000263238] (+0.000028762) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000342190] (+0.000078952) 0 heap_alloc: { pid = 0, fn1 = 0x8001BEE, fn2 = 0x8001ACA, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001B420, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000412666] (+0.000070476) 0 heap_alloc: { pid = 0, fn1 = 0x8001AD6, fn2 = 0x8002076, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001B520, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.000525238] (+0.000112572) 0 heap_alloc: { pid = 0, fn1 = 0x8001BEE, fn2 = 0x8001AEE, fn3 = 0x8005B78, fn4 = 0x8005984, address = 0x2001B7F0, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000553904] (+0.000028666) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.002908095] (+0.002354191) 0 heap_alloc: { pid = 0, fn1 = 0x8001BEE, fn2 = 0x8001ACA, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001C000, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.003319428] (+0.000411333) 0 heap_alloc: { pid = 0, fn1 = 0x8001AD6, fn2 = 0x8002076, fn3 = 0x8005A02, fn4 = 0x8005984, address = 0x2001C100, real_alloc = 728, user_alloc = 720, user_req = 712 }
