[01:00:00.000086761] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000201904] (+0.000115143) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000890190] (+0.000688286) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000937904] (+0.000047714) 0 stack_usage: { pid = 5, func_ptr = 0x8005F0D, usage_bytes = 56 }
[01:00:00.000949619] (+0.000011715) 0 stack_usage: { pid = 5, func_ptr = 0x8005ECD, usage_bytes = 72 }
[01:00:00.000960571] (+0.000010952) 0 stack_usage: { pid = 5, func_ptr = 0x8005F4D, usage_bytes = 88 }
[01:00:00.000971523] (+0.000010952) 0 stack_usage: { pid = 5, func_ptr = 0x8006079, usage_bytes = 120 }
[01:00:00.001855238] (+0.000883715) 0 stack_usage: { pid = 5, func_ptr = 0x8006225, usage_bytes = 96 }
[01:00:00.001874095] (+0.000018857) 0 stack_usage: { pid = 5, func_ptr = 0x80064F1, usage_bytes = 112 }
[01:00:00.002054285] (+0.000180190) 0 stack_usage: { pid = 5, func_ptr = 0x8006161, usage_bytes = 128 }
[01:00:00.002538857] (+0.000484572) 0 stack_usage: { pid = 6, func_ptr = 0x8006055, usage_bytes = 64 }
[01:00:00.002733809] (+0.000194952) 0 stack_usage: { pid = 6, func_ptr = 0x8006029, usage_bytes = 80 }
[01:00:00.002929238] (+0.000195429) 0 stack_usage: { pid = 6, func_ptr = 0x8005F71, usage_bytes = 104 }
[01:00:00.003124666] (+0.000195428) 0 stack_usage: { pid = 6, func_ptr = 0x8006481, usage_bytes = 152 }
[01:00:00.003342285] (+0.000217619) 0 stack_usage: { pid = 6, func_ptr = 0x8005FAD, usage_bytes = 104 }
[01:00:00.003538000] (+0.000195715) 0 stack_usage: { pid = 6, func_ptr = 0x800633D, usage_bytes = 152 }
[01:00:00.003754857] (+0.000216857) 0 stack_usage: { pid = 6, func_ptr = 0x80063A9, usage_bytes = 152 }
[01:00:00.003972285] (+0.000217428) 0 stack_usage: { pid = 6, func_ptr = 0x8006415, usage_bytes = 152 }
