[01:00:00.000000000] (+?.?????????) 0 dump_start:
[01:00:00.000000000] (+0.000000000) 0 dump_stop:
[01:00:00.000000000] (+0.000000000) 0 dump_start:
[01:00:00.000000000] (+0.000000000) 0 dump_stop:
[01:00:00.000077619] (+0.000077619) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000183142] (+0.000105523) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000211238] (+0.000028096) 0 dump_start:
[01:00:00.000703619] (+0.000492381) 0 dump_stop:
[01:00:00.000939809] (+0.000236190) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000984190] (+0.000044381) 0 function_usage: { pid = 5, func_ptr = 0x8005531, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000994571] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x80054F1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001004476] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005571, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001014190] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8005571, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.001023904] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x80056CD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001033809] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x800570D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001076571] (+0.000042762) 0 function_usage: { pid = 5, func_ptr = 0x800570D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.001216000] (+0.000139429) 0 function_usage: { pid = 5, func_ptr = 0x8005609, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001261238] (+0.000045238) 0 dump_start:
[01:00:00.002493714] (+0.001232476) 0 dump_stop:
[01:00:00.002572952] (+0.000079238) 0 thread_create: { thread_id = 22997, name = "" }
[01:00:00.002610571] (+0.000037619) 0 dump_start:
[01:00:00.002883047] (+0.000272476) 0 dump_stop:
[01:00:02.002882476] (+1.999999429) 0 function_usage: { pid = 5, func_ptr = 0x8005591, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.002939047] (+0.000056571) 0 function_usage: { pid = 5, func_ptr = 0x8005591, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.002948857] (+0.000009810) 0 function_usage: { pid = 5, func_ptr = 0x8005609, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.002959142] (+0.000010285) 0 function_usage: { pid = 5, func_ptr = 0x8005A69, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.003074571] (+0.000115429) 0 function_usage: { pid = 5, func_ptr = 0x8005B0D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.003084761] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005C55, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.003095047] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.003120095] (+0.000025048) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.003130000] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.003167619] (+0.000037619) 0 dump_start:
[01:00:02.004300380] (+0.001132761) 0 dump_stop:
[01:00:02.033256666] (+0.028956286) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033274476] (+0.000017810) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033294476] (+0.000020000) 0 function_usage: { pid = 5, func_ptr = 0x8005BA1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033304476] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8005C55, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033318952] (+0.000014476) 0 function_usage: { pid = 5, func_ptr = 0x8005B0D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033329333] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006995, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033340000] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006781, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033352380] (+0.000012380) 0 function_usage: { pid = 5, func_ptr = 0x8005F4D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033362857] (+0.000010477) 0 function_usage: { pid = 5, func_ptr = 0x8005F4D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033373142] (+0.000010285) 0 function_usage: { pid = 5, func_ptr = 0x8006011, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033383047] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8006011, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033393333] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006275, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033403142] (+0.000009809) 0 function_usage: { pid = 5, func_ptr = 0x8006275, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033413428] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033423238] (+0.000009810) 0 function_usage: { pid = 5, func_ptr = 0x8006465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033433428] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006781, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033443428] (+0.000010000) 0 function_usage: { pid = 5, func_ptr = 0x8006995, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033480857] (+0.000037429) 0 function_usage: { pid = 5, func_ptr = 0x8005B0D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033491047] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8005C55, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033501428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033519333] (+0.000017905) 0 function_usage: { pid = 5, func_ptr = 0x8005B6D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:02.033529238] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:02.033570380] (+0.000041142) 0 dump_start:
[01:00:02.036262952] (+0.002692572) 0 dump_stop:
[01:00:02.449888761] (+0.413625809) 0 function_usage: { pid = 5, func_ptr = 0x8005BE1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
