[01:00:00.000050761] (+?.?????????) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001AEE, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20015390, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000123904] (+0.000073143) 0 heap_alloc: { pid = 0, fn1 = 0x8001AFA, fn2 = 0x800209A, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20015490, real_alloc = 504, user_alloc = 496, user_req = 484 }
[01:00:00.000227904] (+0.000104000) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001B12, fn3 = 0x8005B80, fn4 = 0x800598C, address = 0x20015680, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000257714] (+0.000029810) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000337714] (+0.000080000) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001AEE, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20015E90, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000409142] (+0.000071428) 0 heap_alloc: { pid = 0, fn1 = 0x8001AFA, fn2 = 0x800209A, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20015F90, real_alloc = 504, user_alloc = 496, user_req = 484 }
[01:00:00.000513142] (+0.000104000) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001B12, fn3 = 0x8005B80, fn4 = 0x800598C, address = 0x20016180, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000542952] (+0.000029810) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000625904] (+0.000082952) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001AEE, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20016990, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000697619] (+0.000071715) 0 heap_alloc: { pid = 0, fn1 = 0x8001AFA, fn2 = 0x800209A, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20016A90, real_alloc = 504, user_alloc = 496, user_req = 484 }
[01:00:00.000801523] (+0.000103904) 0 heap_alloc: { pid = 0, fn1 = 0x8001C12, fn2 = 0x8001B12, fn3 = 0x8005B80, fn4 = 0x800598C, address = 0x20016C80, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000885904] (+0.000084381) 0 heap_alloc: { pid = 4, fn1 = 0x8001BAA, fn2 = 0x8001AEE, fn3 = 0x8005A0A, fn4 = 0x800598C, address = 0x20017490, real_alloc = 264, user_alloc = 256, user_req = 240 }
