[01:00:00.000078190] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000184000] (+0.000105810) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000374095] (+0.000190095) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000411333] (+0.000037238) 0 stack_usage: { pid = 5, func_ptr = 0x8005531, usage_bytes = 56 }
[01:00:00.000422571] (+0.000011238) 0 stack_usage: { pid = 5, func_ptr = 0x80054F1, usage_bytes = 72 }
[01:00:00.000433238] (+0.000010667) 0 stack_usage: { pid = 5, func_ptr = 0x8005571, usage_bytes = 88 }
[01:00:00.000443809] (+0.000010571) 0 stack_usage: { pid = 5, func_ptr = 0x80056CD, usage_bytes = 96 }
[01:00:00.000454476] (+0.000010667) 0 stack_usage: { pid = 5, func_ptr = 0x800570D, usage_bytes = 112 }
[01:00:00.000627142] (+0.000172666) 0 stack_usage: { pid = 5, func_ptr = 0x8005609, usage_bytes = 128 }
[01:00:00.000661904] (+0.000034762) 0 thread_create: { thread_id = 22997, name = "" }
[01:00:02.207885809] (+2.207223905) 0 stack_usage: { pid = 5, func_ptr = 0x8005591, usage_bytes = 144 }
[01:00:02.207943904] (+0.000058095) 0 stack_usage: { pid = 5, func_ptr = 0x8005A69, usage_bytes = 128 }
[01:00:02.208060190] (+0.000116286) 0 stack_usage: { pid = 5, func_ptr = 0x8005B0D, usage_bytes = 184 }
[01:00:02.208071142] (+0.000010952) 0 stack_usage: { pid = 5, func_ptr = 0x8005C55, usage_bytes = 232 }
[01:00:02.208082285] (+0.000011143) 0 stack_usage: { pid = 5, func_ptr = 0x8005B6D, usage_bytes = 256 }
[01:00:02.208101428] (+0.000019143) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:02.728209428] (+0.520108000) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:02.728227904] (+0.000018476) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:02.728248857] (+0.000020953) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:02.895902095] (+0.167653238) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:02.895920761] (+0.000018666) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:02.895941619] (+0.000020858) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:02.999169619] (+0.103228000) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:02.999180761] (+0.000011142) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:02.999201714] (+0.000020953) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.160080285] (+0.160878571) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.160098952] (+0.000018667) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.160119809] (+0.000020857) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.268452000] (+0.108332191) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.268470571] (+0.000018571) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.268491523] (+0.000020952) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.327921333] (+0.059429810) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.327932285] (+0.000010952) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.327953047] (+0.000020762) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.503968857] (+0.176015810) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.503987428] (+0.000018571) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.504008380] (+0.000020952) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.640097047] (+0.136088667) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.640115714] (+0.000018667) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.640136666] (+0.000020952) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.720378857] (+0.080242191) 0 stack_usage: { pid = 5, func_ptr = 0x8005C29, usage_bytes = 248 }
[01:00:03.720390000] (+0.000011143) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.720410857] (+0.000020857) 0 stack_usage: { pid = 5, func_ptr = 0x8005BE1, usage_bytes = 256 }
[01:00:03.839690761] (+0.119279904) 0 stack_usage: { pid = 5, func_ptr = 0x8005BA1, usage_bytes = 256 }
[01:00:03.839719714] (+0.000028953) 0 stack_usage: { pid = 5, func_ptr = 0x8006995, usage_bytes = 160 }
[01:00:03.839734761] (+0.000015047) 0 stack_usage: { pid = 5, func_ptr = 0x8006781, usage_bytes = 288 }
[01:00:03.839748095] (+0.000013334) 0 stack_usage: { pid = 5, func_ptr = 0x8005F4D, usage_bytes = 336 }
[01:00:03.839763047] (+0.000014952) 0 stack_usage: { pid = 5, func_ptr = 0x8005F15, usage_bytes = 360 }
[01:00:03.839778952] (+0.000015905) 0 stack_usage: { pid = 5, func_ptr = 0x8006011, usage_bytes = 328 }
[01:00:03.839791523] (+0.000012571) 0 stack_usage: { pid = 5, func_ptr = 0x8006275, usage_bytes = 320 }
[01:00:03.839804190] (+0.000012667) 0 stack_usage: { pid = 5, func_ptr = 0x8006465, usage_bytes = 336 }
[01:00:03.839815809] (+0.000011619) 0 stack_usage: { pid = 5, func_ptr = 0x8005E45, usage_bytes = 304 }
[01:00:03.839826571] (+0.000010762) 0 stack_usage: { pid = 5, func_ptr = 0x8005DC9, usage_bytes = 320 }
[01:00:03.839837619] (+0.000011048) 0 stack_usage: { pid = 5, func_ptr = 0x8005E01, usage_bytes = 320 }
[01:00:03.839849333] (+0.000011714) 0 stack_usage: { pid = 5, func_ptr = 0x8005F4D, usage_bytes = 336 }
[01:00:03.839860952] (+0.000011619) 0 stack_usage: { pid = 5, func_ptr = 0x80065C9, usage_bytes = 352 }
[01:00:03.839871809] (+0.000010857) 0 stack_usage: { pid = 5, func_ptr = 0x80092A1, usage_bytes = 400 }
[01:00:03.839883047] (+0.000011238) 0 stack_usage: { pid = 5, func_ptr = 0x80099B1, usage_bytes = 472 }
[01:00:03.839894095] (+0.000011048) 0 stack_usage: { pid = 5, func_ptr = 0x8009BC1, usage_bytes = 512 }
[01:00:03.839906571] (+0.000012476) 0 stack_usage: { pid = 5, func_ptr = 0x8009BC1, usage_bytes = 488 }
[01:00:03.840022666] (+0.000116095) 0 thread_create: { thread_id = 6, name = "publisher" }
[01:00:03.840066571] (+0.000043905) 0 stack_usage: { pid = 6, func_ptr = 0x8009D9D, usage_bytes = 264 }
[01:00:03.840076571] (+0.000010000) 0 measurement_start:
[01:00:03.840086095] (+0.000009524) 0 stack_usage: { pid = 6, func_ptr = 0x800A779, usage_bytes = 280 }
[01:00:03.840097428] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FB71, usage_bytes = 288 }
[01:00:03.840109047] (+0.000011619) 0 stack_usage: { pid = 6, func_ptr = 0x800A801, usage_bytes = 1384 }
[01:00:03.840120380] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 1408 }
[01:00:03.840131809] (+0.000011429) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1400 }
[01:00:03.840146761] (+0.000014952) 0 stack_usage: { pid = 6, func_ptr = 0x801EBA9, usage_bytes = 1400 }
[01:00:03.840160380] (+0.000013619) 0 stack_usage: { pid = 6, func_ptr = 0x80143DD, usage_bytes = 1440 }
[01:00:03.840171619] (+0.000011239) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 1464 }
[01:00:03.840183428] (+0.000011809) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 1456 }
[01:00:03.840208952] (+0.000025524) 0 stack_usage: { pid = 6, func_ptr = 0x8009EC9, usage_bytes = 296 }
[01:00:03.840220190] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x801F5C9, usage_bytes = 312 }
[01:00:03.840233238] (+0.000013048) 0 stack_usage: { pid = 6, func_ptr = 0x800A389, usage_bytes = 1408 }
[01:00:03.840244857] (+0.000011619) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 1432 }
[01:00:03.840256571] (+0.000011714) 0 stack_usage: { pid = 6, func_ptr = 0x801F5C9, usage_bytes = 1424 }
[01:00:03.840268095] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x800FC49, usage_bytes = 1432 }
[01:00:03.840285714] (+0.000017619) 0 stack_usage: { pid = 6, func_ptr = 0x801EB75, usage_bytes = 1424 }
[01:00:03.840298285] (+0.000012571) 0 stack_usage: { pid = 6, func_ptr = 0x800A9E9, usage_bytes = 2512 }
[01:00:03.840309904] (+0.000011619) 0 stack_usage: { pid = 6, func_ptr = 0x800A801, usage_bytes = 3632 }
[01:00:03.840321333] (+0.000011429) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 3656 }
[01:00:03.840332666] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 3648 }
[01:00:03.840347523] (+0.000014857) 0 stack_usage: { pid = 6, func_ptr = 0x801EBA9, usage_bytes = 3648 }
[01:00:03.840360952] (+0.000013429) 0 stack_usage: { pid = 6, func_ptr = 0x80143DD, usage_bytes = 3688 }
[01:00:03.840372285] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 3712 }
[01:00:03.840384095] (+0.000011810) 0 stack_usage: { pid = 6, func_ptr = 0x800FCD1, usage_bytes = 3704 }
[01:00:03.840409523] (+0.000025428) 0 stack_usage: { pid = 6, func_ptr = 0x8014599, usage_bytes = 2576 }
[01:00:03.840420761] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x800FBB5, usage_bytes = 2600 }
[01:00:03.840433619] (+0.000012858) 0 stack_usage: { pid = 6, func_ptr = 0x801E899, usage_bytes = 2616 }
