[01:00:00.000235142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000496857] (+0.000261715) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003691809] (+0.003194952) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.003743904] (+0.000052095) 0 function_usage: { pid = 5, func_ptr = 0x80065A9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003754190] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006569, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003763809] (+0.000009619) 0 function_usage: { pid = 5, func_ptr = 0x80065E9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003773523] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8006659, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003783238] (+0.000009715) 0 function_usage: { pid = 5, func_ptr = 0x8006635, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003792952] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x800660D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003802857] (+0.000009905) 0 function_usage: { pid = 5, func_ptr = 0x800669D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003836476] (+0.000033619) 0 function_usage: { pid = 5, func_ptr = 0x800669D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003846190] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x800660D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003855809] (+0.000009619) 0 function_usage: { pid = 5, func_ptr = 0x8006635, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003865523] (+0.000009714) 0 function_usage: { pid = 5, func_ptr = 0x8006659, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003875333] (+0.000009810) 0 function_usage: { pid = 5, func_ptr = 0x80065E9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003884952] (+0.000009619) 0 function_usage: { pid = 5, func_ptr = 0x800667D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
