[01:00:00.000235142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000496952] (+0.000261810) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003693142] (+0.003196190) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.003745904] (+0.000052762) 0 stack_usage: { pid = 5, func_ptr = 0x80065A9, usage_bytes = 56 }
[01:00:00.003757047] (+0.000011143) 0 stack_usage: { pid = 5, func_ptr = 0x8006569, usage_bytes = 72 }
[01:00:00.003767523] (+0.000010476) 0 stack_usage: { pid = 5, func_ptr = 0x80065E9, usage_bytes = 88 }
[01:00:00.003778095] (+0.000010572) 0 stack_usage: { pid = 5, func_ptr = 0x8006659, usage_bytes = 104 }
[01:00:00.003788571] (+0.000010476) 0 stack_usage: { pid = 5, func_ptr = 0x8006635, usage_bytes = 120 }
[01:00:00.003799047] (+0.000010476) 0 stack_usage: { pid = 5, func_ptr = 0x800660D, usage_bytes = 136 }
[01:00:00.003809809] (+0.000010762) 0 stack_usage: { pid = 5, func_ptr = 0x800669D, usage_bytes = 176 }
[01:00:00.003908476] (+0.000098667) 0 stack_usage: { pid = 5, func_ptr = 0x8006AD1, usage_bytes = 112 }
[01:00:00.004006857] (+0.000098381) 0 stack_usage: { pid = 5, func_ptr = 0x8006CBD, usage_bytes = 216 }
[01:00:00.004021714] (+0.000014857) 0 stack_usage: { pid = 5, func_ptr = 0x8006BD5, usage_bytes = 240 }
[01:00:00.004051904] (+0.000030190) 0 thread_create: { thread_id = 27197, name = "" }
[01:00:02.070992476] (+2.066940572) 0 stack_usage: { pid = 5, func_ptr = 0x80077E9, usage_bytes = 288 }
[01:00:02.071013523] (+0.000021047) 0 stack_usage: { pid = 5, func_ptr = 0x8006FB5, usage_bytes = 336 }
[01:00:02.071026285] (+0.000012762) 0 stack_usage: { pid = 5, func_ptr = 0x80072DD, usage_bytes = 320 }
[01:00:02.230715238] (+0.159688953) 0 stack_usage: { pid = 5, func_ptr = 0x8007079, usage_bytes = 328 }
[01:00:02.703547428] (+0.472832190) 0 stack_usage: { pid = 5, func_ptr = 0x8006C91, usage_bytes = 232 }
[01:00:02.703808476] (+0.000261048) 0 stack_usage: { pid = 5, func_ptr = 0x8006C09, usage_bytes = 240 }
[01:00:02.704075142] (+0.000266666) 0 stack_usage: { pid = 5, func_ptr = 0x8006C49, usage_bytes = 240 }
[01:00:02.704409809] (+0.000334667) 0 stack_usage: { pid = 5, func_ptr = 0x8006C91, usage_bytes = 232 }
[01:00:02.704671428] (+0.000261619) 0 stack_usage: { pid = 5, func_ptr = 0x8006C09, usage_bytes = 240 }
[01:00:02.704945619] (+0.000274191) 0 stack_usage: { pid = 5, func_ptr = 0x8006C49, usage_bytes = 240 }
[01:00:02.705277142] (+0.000331523) 0 stack_usage: { pid = 5, func_ptr = 0x8006C91, usage_bytes = 232 }
[01:00:02.705538190] (+0.000261048) 0 stack_usage: { pid = 5, func_ptr = 0x8006C09, usage_bytes = 240 }
[01:00:02.705809142] (+0.000270952) 0 stack_usage: { pid = 5, func_ptr = 0x8006C49, usage_bytes = 240 }
[01:00:02.706147142] (+0.000338000) 0 stack_usage: { pid = 5, func_ptr = 0x8006C91, usage_bytes = 232 }
[01:00:02.706404380] (+0.000257238) 0 stack_usage: { pid = 5, func_ptr = 0x8006C09, usage_bytes = 240 }
[01:00:02.706674857] (+0.000270477) 0 stack_usage: { pid = 5, func_ptr = 0x8006C49, usage_bytes = 240 }
[01:00:02.707013333] (+0.000338476) 0 stack_usage: { pid = 5, func_ptr = 0x8006C91, usage_bytes = 232 }
[01:00:02.707274380] (+0.000261047) 0 stack_usage: { pid = 5, func_ptr = 0x8006C09, usage_bytes = 240 }
[01:00:02.707487619] (+0.000213239) 0 stack_usage: { pid = 5, func_ptr = 0x8006F7D, usage_bytes = 360 }
[01:00:02.707499142] (+0.000011523) 0 stack_usage: { pid = 5, func_ptr = 0x8007079, usage_bytes = 328 }
[01:00:02.707535047] (+0.000035905) 0 stack_usage: { pid = 5, func_ptr = 0x8006FB5, usage_bytes = 336 }
[01:00:02.707553047] (+0.000018000) 0 stack_usage: { pid = 5, func_ptr = 0x800A325, usage_bytes = 400 }
[01:00:02.707564285] (+0.000011238) 0 stack_usage: { pid = 5, func_ptr = 0x800B3B5, usage_bytes = 472 }
[01:00:02.707575047] (+0.000010762) 0 stack_usage: { pid = 5, func_ptr = 0x800B891, usage_bytes = 512 }
[01:00:02.709076666] (+0.001501619) 0 thread_create: { thread_id = 6, name = "uros_6lowpan" }
[01:00:02.709103333] (+0.000026667) 0 stack_usage: { pid = 6, func_ptr = 0x800C309, usage_bytes = 632 }
[01:00:02.709120857] (+0.000017524) 0 stack_usage: { pid = 6, func_ptr = 0x800C6C5, usage_bytes = 704 }
[01:00:02.709365428] (+0.000244571) 0 thread_create: { thread_id = 7, name = "popen" }
[01:00:02.709390190] (+0.000024762) 0 stack_usage: { pid = 7, func_ptr = 0x8028B39, usage_bytes = 48 }
[01:00:02.709400761] (+0.000010571) 0 stack_usage: { pid = 7, func_ptr = 0x8006775, usage_bytes = 64 }
[01:00:02.709473333] (+0.000072572) 0 stack_usage: { pid = 7, func_ptr = 0x80079FD, usage_bytes = 80 }
[01:00:02.709489047] (+0.000015714) 0 stack_usage: { pid = 7, func_ptr = 0x80077E9, usage_bytes = 224 }
[01:00:02.709503142] (+0.000014095) 0 stack_usage: { pid = 7, func_ptr = 0x8006FB5, usage_bytes = 272 }
[01:00:02.709517142] (+0.000014000) 0 stack_usage: { pid = 7, func_ptr = 0x8006F7D, usage_bytes = 296 }
[01:00:02.709538571] (+0.000021429) 0 stack_usage: { pid = 7, func_ptr = 0x8006EAD, usage_bytes = 240 }
[01:00:02.709560190] (+0.000021619) 0 stack_usage: { pid = 7, func_ptr = 0x800A325, usage_bytes = 336 }
[01:00:02.709571428] (+0.000011238) 0 stack_usage: { pid = 7, func_ptr = 0x800B3B5, usage_bytes = 408 }
[01:00:02.709582380] (+0.000010952) 0 stack_usage: { pid = 7, func_ptr = 0x800B891, usage_bytes = 448 }
[01:00:02.709594000] (+0.000011620) 0 stack_usage: { pid = 7, func_ptr = 0x800B891, usage_bytes = 448 }
[01:00:02.709712380] (+0.000118380) 0 stack_usage: { pid = 7, func_ptr = 0x80068AD, usage_bytes = 88 }
[01:00:02.709773809] (+0.000061429) 0 stack_usage: { pid = 6, func_ptr = 0x800C6C5, usage_bytes = 704 }
[01:00:02.710032095] (+0.000258286) 0 thread_create: { thread_id = 8, name = "popen" }
[01:00:02.710059904] (+0.000027809) 0 stack_usage: { pid = 8, func_ptr = 0x8028B39, usage_bytes = 48 }
[01:00:02.710070571] (+0.000010667) 0 stack_usage: { pid = 8, func_ptr = 0x8006775, usage_bytes = 64 }
[01:00:02.710146952] (+0.000076381) 0 stack_usage: { pid = 8, func_ptr = 0x80079FD, usage_bytes = 80 }
[01:00:02.710167904] (+0.000020952) 0 stack_usage: { pid = 8, func_ptr = 0x80077E9, usage_bytes = 224 }
[01:00:02.710181809] (+0.000013905) 0 stack_usage: { pid = 8, func_ptr = 0x8006FB5, usage_bytes = 272 }
[01:00:02.710195238] (+0.000013429) 0 stack_usage: { pid = 8, func_ptr = 0x8006F7D, usage_bytes = 296 }
[01:00:02.710211619] (+0.000016381) 0 stack_usage: { pid = 8, func_ptr = 0x80074CD, usage_bytes = 272 }
[01:00:02.710246285] (+0.000034666) 0 stack_usage: { pid = 8, func_ptr = 0x8006FB5, usage_bytes = 272 }
[01:00:02.710259619] (+0.000013334) 0 stack_usage: { pid = 8, func_ptr = 0x800A325, usage_bytes = 336 }
[01:00:02.723293523] (+0.013033904) 0 stack_usage: { pid = 29, func_ptr = 0x8028B39, usage_bytes = 48 }
[01:00:02.723311523] (+0.000018000) 0 stack_usage: { pid = 29, func_ptr = 0x8006775, usage_bytes = 64 }
[01:00:02.723387809] (+0.000076286) 0 stack_usage: { pid = 29, func_ptr = 0x80079FD, usage_bytes = 80 }
[01:00:02.723406952] (+0.000019143) 0 stack_usage: { pid = 29, func_ptr = 0x80077E9, usage_bytes = 224 }
[01:00:02.723420857] (+0.000013905) 0 stack_usage: { pid = 29, func_ptr = 0x8006FB5, usage_bytes = 272 }
[01:00:02.723434285] (+0.000013428) 0 stack_usage: { pid = 29, func_ptr = 0x8006F7D, usage_bytes = 296 }
[01:00:02.723456666] (+0.000022381) 0 stack_usage: { pid = 29, func_ptr = 0x8006EAD, usage_bytes = 240 }
[01:00:02.723486476] (+0.000029810) 0 stack_usage: { pid = 29, func_ptr = 0x8007631, usage_bytes = 288 }
[01:00:02.723497047] (+0.000010571) 0 stack_usage: { pid = 29, func_ptr = 0x800A325, usage_bytes = 336 }
[01:00:02.723508095] (+0.000011048) 0 stack_usage: { pid = 29, func_ptr = 0x800B3B5, usage_bytes = 408 }
[01:00:02.723518952] (+0.000010857) 0 stack_usage: { pid = 29, func_ptr = 0x800B891, usage_bytes = 448 }
[01:00:02.723574952] (+0.000056000) 0 stack_usage: { pid = 29, func_ptr = 0x8006DA9, usage_bytes = 312 }
[01:00:02.723958380] (+0.000383428) 0 thread_create: { thread_id = 30, name = "popen" }
[01:00:02.723987142] (+0.000028762) 0 stack_usage: { pid = 30, func_ptr = 0x8028B39, usage_bytes = 48 }
[01:00:02.723997904] (+0.000010762) 0 stack_usage: { pid = 30, func_ptr = 0x8006775, usage_bytes = 64 }
[01:00:02.724074190] (+0.000076286) 0 stack_usage: { pid = 30, func_ptr = 0x80079FD, usage_bytes = 80 }
[01:00:02.724092000] (+0.000017810) 0 stack_usage: { pid = 30, func_ptr = 0x80077E9, usage_bytes = 224 }
[01:00:02.724105714] (+0.000013714) 0 stack_usage: { pid = 30, func_ptr = 0x8006FB5, usage_bytes = 272 }
[01:00:02.724118666] (+0.000012952) 0 stack_usage: { pid = 30, func_ptr = 0x8006F7D, usage_bytes = 296 }
[01:00:02.724151333] (+0.000032667) 0 stack_usage: { pid = 30, func_ptr = 0x8006F7D, usage_bytes = 296 }
[01:00:02.724164666] (+0.000013333) 0 stack_usage: { pid = 30, func_ptr = 0x8007631, usage_bytes = 288 }
[01:00:02.724175428] (+0.000010762) 0 stack_usage: { pid = 30, func_ptr = 0x800A325, usage_bytes = 336 }
[01:00:02.724186666] (+0.000011238) 0 stack_usage: { pid = 30, func_ptr = 0x800B3B5, usage_bytes = 408 }
[01:00:02.724197619] (+0.000010953) 0 stack_usage: { pid = 30, func_ptr = 0x800B891, usage_bytes = 448 }
[01:00:02.724220571] (+0.000022952) 0 stack_usage: { pid = 30, func_ptr = 0x8009559, usage_bytes = 416 }
[01:00:02.724631619] (+0.000411048) 0 stack_usage: { pid = 30, func_ptr = 0x800695D, usage_bytes = 456 }
[01:00:03.286761904] (+0.562130285) 0 measurement_start:
[01:00:03.286778571] (+0.000016667) 0 stack_usage: { pid = 6, func_ptr = 0x800F5C9, usage_bytes = 648 }
[01:00:03.286791333] (+0.000012762) 0 stack_usage: { pid = 6, func_ptr = 0x800F699, usage_bytes = 1752 }
[01:00:03.286802857] (+0.000011524) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 1776 }
[01:00:03.286825428] (+0.000022571) 0 stack_usage: { pid = 6, func_ptr = 0x801AB99, usage_bytes = 1808 }
[01:00:03.286836571] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 1832 }
[01:00:03.286867619] (+0.000031048) 0 stack_usage: { pid = 6, func_ptr = 0x801CCAD, usage_bytes = 656 }
[01:00:03.286902095] (+0.000034476) 0 stack_usage: { pid = 6, func_ptr = 0x800F8B9, usage_bytes = 2880 }
[01:00:03.286913428] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x800F699, usage_bytes = 4000 }
[01:00:03.286924666] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 4024 }
[01:00:03.286935904] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x8015701, usage_bytes = 4016 }
[01:00:03.286957333] (+0.000021429) 0 stack_usage: { pid = 6, func_ptr = 0x801AB99, usage_bytes = 4056 }
[01:00:03.286968476] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 4080 }
[01:00:03.287004000] (+0.000035524) 0 stack_usage: { pid = 6, func_ptr = 0x80156C1, usage_bytes = 3000 }
[01:00:03.287050857] (+0.000046857) 0 stack_usage: { pid = 6, func_ptr = 0x800FA2D, usage_bytes = 3872 }
[01:00:03.287064857] (+0.000014000) 0 stack_usage: { pid = 6, func_ptr = 0x8017C15, usage_bytes = 6064 }
[01:00:03.287076190] (+0.000011333) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 6088 }
[01:00:03.287100380] (+0.000024190) 0 stack_usage: { pid = 6, func_ptr = 0x801A52D, usage_bytes = 6104 }
[01:00:03.287111523] (+0.000011143) 0 stack_usage: { pid = 6, func_ptr = 0x8015555, usage_bytes = 6128 }
[01:00:03.287122857] (+0.000011334) 0 stack_usage: { pid = 6, func_ptr = 0x8015701, usage_bytes = 6120 }
[01:00:03.287139714] (+0.000016857) 0 stack_usage: { pid = 6, func_ptr = 0x801A34D, usage_bytes = 6136 }
[01:00:03.287176666] (+0.000036952) 0 stack_usage: { pid = 6, func_ptr = 0x802FA7D, usage_bytes = 5016 }
[01:00:03.287205428] (+0.000028762) 0 stack_usage: { pid = 6, func_ptr = 0x803060D, usage_bytes = 1896 }
