[01:00:00.000256190] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000390285] (+0.000134095) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003429333] (+0.003039048) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.003482095] (+0.000052762) 0 function_usage: { pid = 5, func_ptr = 0x8006551, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003492952] (+0.000010857) 0 function_usage: { pid = 5, func_ptr = 0x8006511, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003503142] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006591, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003513428] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006601, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003523714] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x80065DD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003533904] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x80065B5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003544285] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006645, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003578952] (+0.000034667) 0 function_usage: { pid = 5, func_ptr = 0x8006645, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003589142] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x80065B5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003599238] (+0.000010096) 0 function_usage: { pid = 5, func_ptr = 0x80065DD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003609428] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006601, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003619523] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8006591, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003629809] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006625, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003640000] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x800671D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003683047] (+0.000043047) 0 function_usage: { pid = 5, func_ptr = 0x800671D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003693428] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006A79, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003792000] (+0.000098572) 0 function_usage: { pid = 5, func_ptr = 0x8006B1D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003806571] (+0.000014571) 0 function_usage: { pid = 5, func_ptr = 0x8006C65, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003817142] (+0.000010571) 0 function_usage: { pid = 5, func_ptr = 0x8006B7D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003834095] (+0.000016953) 0 function_usage: { pid = 5, func_ptr = 0x8006B7D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.003844285] (+0.000010190) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.003866571] (+0.000022286) 0 thread_create: { thread_id = 27109, name = "" }
[01:00:01.266918190] (+1.263051619) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.266936380] (+0.000018190) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.266946666] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.266957142] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.266977047] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.266987714] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.448655523] (+0.181667809) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.448673809] (+0.000018286) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.448684000] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.448694476] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.448714285] (+0.000019809) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.448724857] (+0.000010572) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.533931333] (+0.085206476) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.533942285] (+0.000010952) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.533952380] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.533962952] (+0.000010572) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.533982761] (+0.000019809) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.533993428] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.765744380] (+0.231750952) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765762666] (+0.000018286) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.765772857] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765783333] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.765803238] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.765813809] (+0.000010571) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893084857] (+0.127271048) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893102952] (+0.000018095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893113047] (+0.000010095) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893123714] (+0.000010667) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.893143619] (+0.000019905) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.893154476] (+0.000010857) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.985546000] (+0.092391524) 0 function_usage: { pid = 5, func_ptr = 0x8006BF1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.985556761] (+0.000010761) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:01.985566952] (+0.000010191) 0 function_usage: { pid = 5, func_ptr = 0x8006C39, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:01.985577428] (+0.000010476) 0 function_usage: { pid = 5, func_ptr = 0x8006BB1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
