[01:00:00.000256000] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000390000] (+0.000134000) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.003406666] (+0.003016666) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.003459904] (+0.000053238) 0 stack_usage: { pid = 5, func_ptr = 0x8006551, usage_bytes = 56 }
[01:00:00.003471428] (+0.000011524) 0 stack_usage: { pid = 5, func_ptr = 0x8006511, usage_bytes = 72 }
[01:00:00.003482476] (+0.000011048) 0 stack_usage: { pid = 5, func_ptr = 0x8006591, usage_bytes = 88 }
[01:00:00.003493333] (+0.000010857) 0 stack_usage: { pid = 5, func_ptr = 0x8006601, usage_bytes = 104 }
[01:00:00.003504095] (+0.000010762) 0 stack_usage: { pid = 5, func_ptr = 0x80065DD, usage_bytes = 120 }
[01:00:00.003515047] (+0.000010952) 0 stack_usage: { pid = 5, func_ptr = 0x80065B5, usage_bytes = 136 }
[01:00:00.003526095] (+0.000011048) 0 stack_usage: { pid = 5, func_ptr = 0x8006645, usage_bytes = 176 }
[01:00:00.003597714] (+0.000071619) 0 stack_usage: { pid = 5, func_ptr = 0x8006A79, usage_bytes = 112 }
[01:00:00.003698285] (+0.000100571) 0 stack_usage: { pid = 5, func_ptr = 0x8006C65, usage_bytes = 216 }
[01:00:00.003713714] (+0.000015429) 0 stack_usage: { pid = 5, func_ptr = 0x8006B7D, usage_bytes = 240 }
[01:00:00.003744476] (+0.000030762) 0 thread_create: { thread_id = 27109, name = "" }
[01:00:03.929603904] (+3.925859428) 0 stack_usage: { pid = 5, func_ptr = 0x8006BF1, usage_bytes = 240 }
[01:00:04.493999333] (+0.564395429) 0 stack_usage: { pid = 5, func_ptr = 0x8006C39, usage_bytes = 232 }
[01:00:04.824668857] (+0.330669524) 0 stack_usage: { pid = 5, func_ptr = 0x80079A5, usage_bytes = 144 }
[01:00:04.824696380] (+0.000027523) 0 stack_usage: { pid = 5, func_ptr = 0x8007791, usage_bytes = 288 }
[01:00:04.824711142] (+0.000014762) 0 stack_usage: { pid = 5, func_ptr = 0x8006F5D, usage_bytes = 336 }
[01:00:04.824726666] (+0.000015524) 0 stack_usage: { pid = 5, func_ptr = 0x8006F25, usage_bytes = 360 }
[01:00:04.824749904] (+0.000023238) 0 stack_usage: { pid = 5, func_ptr = 0x8006F5D, usage_bytes = 336 }
[01:00:04.824763428] (+0.000013524) 0 stack_usage: { pid = 5, func_ptr = 0x800A2CD, usage_bytes = 400 }
[01:00:04.824775523] (+0.000012095) 0 stack_usage: { pid = 5, func_ptr = 0x800B35D, usage_bytes = 472 }
[01:00:04.824787333] (+0.000011810) 0 stack_usage: { pid = 5, func_ptr = 0x800B839, usage_bytes = 512 }
[01:00:04.824909904] (+0.000122571) 0 thread_create: { thread_id = 6, name = "microros" }
[01:00:04.824953428] (+0.000043524) 0 stack_usage: { pid = 6, func_ptr = 0x800CB2D, usage_bytes = 296 }
[01:00:04.824964000] (+0.000010572) 0 measurement_start:
[01:00:04.824974571] (+0.000010571) 0 stack_usage: { pid = 6, func_ptr = 0x801181D, usage_bytes = 320 }
[01:00:04.824986476] (+0.000011905) 0 stack_usage: { pid = 6, func_ptr = 0x800F175, usage_bytes = 312 }
[01:00:04.824998285] (+0.000011809) 0 stack_usage: { pid = 6, func_ptr = 0x800F2B1, usage_bytes = 344 }
[01:00:04.825010000] (+0.000011715) 0 stack_usage: { pid = 6, func_ptr = 0x8011855, usage_bytes = 360 }
[01:00:04.825022285] (+0.000012285) 0 stack_usage: { pid = 6, func_ptr = 0x800F245, usage_bytes = 440 }
[01:00:04.825034000] (+0.000011715) 0 stack_usage: { pid = 6, func_ptr = 0x8011999, usage_bytes = 456 }
[01:00:04.825053047] (+0.000019047) 0 stack_usage: { pid = 6, func_ptr = 0x8012391, usage_bytes = 472 }
[01:00:04.825069809] (+0.000016762) 0 stack_usage: { pid = 6, func_ptr = 0x8011999, usage_bytes = 408 }
[01:00:04.825212476] (+0.000142667) 0 thread_create: { thread_id = 7, name = "popen" }
[01:00:04.825237428] (+0.000024952) 0 stack_usage: { pid = 7, func_ptr = 0x80147E5, usage_bytes = 48 }
[01:00:04.825249047] (+0.000011619) 0 stack_usage: { pid = 7, func_ptr = 0x800671D, usage_bytes = 64 }
[01:00:04.825294285] (+0.000045238) 0 stack_usage: { pid = 7, func_ptr = 0x80079A5, usage_bytes = 80 }
[01:00:04.825311047] (+0.000016762) 0 stack_usage: { pid = 7, func_ptr = 0x8007791, usage_bytes = 224 }
[01:00:04.825325809] (+0.000014762) 0 stack_usage: { pid = 7, func_ptr = 0x8006F5D, usage_bytes = 272 }
[01:00:04.825340476] (+0.000014667) 0 stack_usage: { pid = 7, func_ptr = 0x8006F25, usage_bytes = 296 }
[01:00:04.825367619] (+0.000027143) 0 stack_usage: { pid = 7, func_ptr = 0x8006F25, usage_bytes = 296 }
[01:00:04.825382380] (+0.000014761) 0 stack_usage: { pid = 7, func_ptr = 0x80075D9, usage_bytes = 288 }
[01:00:04.825394000] (+0.000011620) 0 stack_usage: { pid = 7, func_ptr = 0x800A2CD, usage_bytes = 336 }
[01:00:04.825406095] (+0.000012095) 0 stack_usage: { pid = 7, func_ptr = 0x800B35D, usage_bytes = 408 }
[01:00:04.825418190] (+0.000012095) 0 stack_usage: { pid = 7, func_ptr = 0x800B839, usage_bytes = 448 }
[01:00:04.825470761] (+0.000052571) 0 stack_usage: { pid = 7, func_ptr = 0x800699D, usage_bytes = 376 }
[01:00:04.825720380] (+0.000249619) 0 thread_create: { thread_id = 8, name = "popen" }
[01:00:04.825745238] (+0.000024858) 0 stack_usage: { pid = 8, func_ptr = 0x80147E5, usage_bytes = 48 }
[01:00:04.825756857] (+0.000011619) 0 stack_usage: { pid = 8, func_ptr = 0x800671D, usage_bytes = 64 }
[01:00:04.825805904] (+0.000049047) 0 stack_usage: { pid = 8, func_ptr = 0x80079A5, usage_bytes = 80 }
[01:00:04.825827904] (+0.000022000) 0 stack_usage: { pid = 8, func_ptr = 0x8007791, usage_bytes = 224 }
[01:00:04.825842666] (+0.000014762) 0 stack_usage: { pid = 8, func_ptr = 0x8006F5D, usage_bytes = 272 }
[01:00:04.825857047] (+0.000014381) 0 stack_usage: { pid = 8, func_ptr = 0x8006F25, usage_bytes = 296 }
[01:00:04.825884190] (+0.000027143) 0 stack_usage: { pid = 8, func_ptr = 0x8006F25, usage_bytes = 296 }
[01:00:04.825915904] (+0.000031714) 0 stack_usage: { pid = 8, func_ptr = 0x800A2CD, usage_bytes = 336 }
[01:00:04.825928000] (+0.000012096) 0 stack_usage: { pid = 8, func_ptr = 0x800B35D, usage_bytes = 408 }
[01:00:04.825939809] (+0.000011809) 0 stack_usage: { pid = 8, func_ptr = 0x800B839, usage_bytes = 448 }
[01:00:04.825952380] (+0.000012571) 0 stack_usage: { pid = 8, func_ptr = 0x800B839, usage_bytes = 448 }
[01:00:04.826083714] (+0.000131334) 0 thread_create: { thread_id = 9, name = "i8sak" }
[01:00:04.826111333] (+0.000027619) 0 stack_usage: { pid = 9, func_ptr = 0x800BE7D, usage_bytes = 72 }
[01:00:04.826124857] (+0.000013524) 0 stack_usage: { pid = 9, func_ptr = 0x800BE01, usage_bytes = 96 }
[01:00:05.869872000] (+1.043747143) 0 stack_usage: { pid = 6, func_ptr = 0x8026261, usage_bytes = 416 }
[01:00:05.869893238] (+0.000021238) 0 stack_usage: { pid = 6, func_ptr = 0x80231F5, usage_bytes = 520 }
[01:00:05.869905142] (+0.000011904) 0 stack_usage: { pid = 6, func_ptr = 0x8011855, usage_bytes = 536 }
[01:00:05.869917428] (+0.000012286) 0 stack_usage: { pid = 6, func_ptr = 0x8011919, usage_bytes = 544 }
[01:00:05.869939428] (+0.000022000) 0 stack_usage: { pid = 6, func_ptr = 0x8012309, usage_bytes = 552 }
[01:00:05.869953523] (+0.000014095) 0 stack_usage: { pid = 6, func_ptr = 0x8012391, usage_bytes = 568 }
[01:00:05.869969333] (+0.000015810) 0 stack_usage: { pid = 6, func_ptr = 0x800F3A1, usage_bytes = 1576 }
[01:00:05.869981047] (+0.000011714) 0 stack_usage: { pid = 6, func_ptr = 0x8011855, usage_bytes = 1592 }
[01:00:05.869993333] (+0.000012286) 0 stack_usage: { pid = 6, func_ptr = 0x800F245, usage_bytes = 1672 }
[01:00:05.870004952] (+0.000011619) 0 stack_usage: { pid = 6, func_ptr = 0x8011999, usage_bytes = 1688 }
[01:00:05.870023523] (+0.000018571) 0 stack_usage: { pid = 6, func_ptr = 0x8012391, usage_bytes = 1704 }
[01:00:05.870055904] (+0.000032381) 0 stack_usage: { pid = 6, func_ptr = 0x8026221, usage_bytes = 600 }
[01:00:05.870079523] (+0.000023619) 0 stack_usage: { pid = 6, func_ptr = 0x8026605, usage_bytes = 560 }
[01:00:05.870110380] (+0.000030857) 0 stack_usage: { pid = 6, func_ptr = 0x8013B8D, usage_bytes = 576 }
[01:00:05.870135333] (+0.000024953) 0 stack_usage: { pid = 6, func_ptr = 0x801391D, usage_bytes = 576 }
[01:00:05.875580190] (+0.005444857) 0 stack_usage: { pid = 6, func_ptr = 0x8018165, usage_bytes = 576 }
[01:00:05.875602952] (+0.000022762) 0 stack_usage: { pid = 6, func_ptr = 0x802AD69, usage_bytes = 736 }
[01:00:05.875626761] (+0.000023809) 0 stack_usage: { pid = 6, func_ptr = 0x8018639, usage_bytes = 600 }
[01:00:05.875648761] (+0.000022000) 0 stack_usage: { pid = 6, func_ptr = 0x802B7F5, usage_bytes = 736 }
[01:00:05.875677619] (+0.000028858) 0 stack_usage: { pid = 6, func_ptr = 0x801A399, usage_bytes = 624 }
[01:00:05.875700761] (+0.000023142) 0 stack_usage: { pid = 6, func_ptr = 0x802BC95, usage_bytes = 784 }
[01:00:05.875723333] (+0.000022572) 0 stack_usage: { pid = 6, func_ptr = 0x802AC99, usage_bytes = 784 }
[01:00:05.875752095] (+0.000028762) 0 stack_usage: { pid = 6, func_ptr = 0x8019DE9, usage_bytes = 768 }
[01:00:05.875776095] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8017285, usage_bytes = 888 }
[01:00:05.875800380] (+0.000024285) 0 stack_usage: { pid = 6, func_ptr = 0x80281B9, usage_bytes = 840 }
[01:00:05.875823428] (+0.000023048) 0 stack_usage: { pid = 6, func_ptr = 0x8016FB1, usage_bytes = 896 }
[01:00:05.875853809] (+0.000030381) 0 stack_usage: { pid = 6, func_ptr = 0x801714D, usage_bytes = 840 }
[01:00:05.875878285] (+0.000024476) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 872 }
[01:00:05.891141619] (+0.015263334) 0 stack_usage: { pid = 6, func_ptr = 0x8017199, usage_bytes = 736 }
[01:00:05.891165619] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8015A31, usage_bytes = 816 }
[01:00:05.891190952] (+0.000025333) 0 stack_usage: { pid = 6, func_ptr = 0x80172D9, usage_bytes = 976 }
[01:00:05.891216000] (+0.000025048) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 1048 }
[01:00:05.891240476] (+0.000024476) 0 stack_usage: { pid = 6, func_ptr = 0x801BC5D, usage_bytes = 1048 }
[01:00:05.891263428] (+0.000022952) 0 stack_usage: { pid = 6, func_ptr = 0x80282C9, usage_bytes = 1104 }
[01:00:05.891291333] (+0.000027905) 0 stack_usage: { pid = 6, func_ptr = 0x80243D5, usage_bytes = 384 }
[01:00:05.891319714] (+0.000028381) 0 stack_usage: { pid = 6, func_ptr = 0x801181D, usage_bytes = 776 }
[01:00:05.891343523] (+0.000023809) 0 stack_usage: { pid = 6, func_ptr = 0x8012701, usage_bytes = 720 }
[01:00:05.891367142] (+0.000023619) 0 stack_usage: { pid = 6, func_ptr = 0x80125FD, usage_bytes = 768 }
[01:00:05.891389809] (+0.000022667) 0 stack_usage: { pid = 6, func_ptr = 0x80125FD, usage_bytes = 768 }
[01:00:05.891431619] (+0.000041810) 0 stack_usage: { pid = 6, func_ptr = 0x8011855, usage_bytes = 760 }
[01:00:05.891485047] (+0.000053428) 0 stack_usage: { pid = 6, func_ptr = 0x80274B5, usage_bytes = 776 }
[01:00:05.891521142] (+0.000036095) 0 stack_usage: { pid = 6, func_ptr = 0x8026DCD, usage_bytes = 800 }
[01:00:05.891557333] (+0.000036191) 0 stack_usage: { pid = 6, func_ptr = 0x8015839, usage_bytes = 1440 }
[01:00:05.891583238] (+0.000025905) 0 stack_usage: { pid = 6, func_ptr = 0x8028025, usage_bytes = 1520 }
[01:00:05.891607428] (+0.000024190) 0 stack_usage: { pid = 6, func_ptr = 0x802B7F5, usage_bytes = 1640 }
[01:00:05.891626571] (+0.000019143) 0 stack_usage: { pid = 6, func_ptr = 0x801709D, usage_bytes = 1720 }
[01:00:05.891643047] (+0.000016476) 0 stack_usage: { pid = 6, func_ptr = 0x801B3F9, usage_bytes = 1576 }
[01:00:05.891668190] (+0.000025143) 0 stack_usage: { pid = 6, func_ptr = 0x8019DB1, usage_bytes = 1504 }
[01:00:05.990047047] (+0.098378857) 0 stack_usage: { pid = 6, func_ptr = 0x8017385, usage_bytes = 872 }
[01:00:05.990080857] (+0.000033810) 0 stack_usage: { pid = 6, func_ptr = 0x8018FDD, usage_bytes = 896 }
[01:00:05.990103714] (+0.000022857) 0 stack_usage: { pid = 6, func_ptr = 0x80170FD, usage_bytes = 1120 }
[01:00:05.990128571] (+0.000024857) 0 stack_usage: { pid = 6, func_ptr = 0x8016FFD, usage_bytes = 1136 }
[01:00:05.990154857] (+0.000026286) 0 stack_usage: { pid = 6, func_ptr = 0x8017385, usage_bytes = 1064 }
[01:00:05.990180190] (+0.000025333) 0 stack_usage: { pid = 6, func_ptr = 0x8018BF9, usage_bytes = 1016 }
[01:00:05.990202190] (+0.000022000) 0 stack_usage: { pid = 6, func_ptr = 0x80282C9, usage_bytes = 1112 }
[01:00:05.990227142] (+0.000024952) 0 stack_usage: { pid = 6, func_ptr = 0x80272D9, usage_bytes = 1040 }
[01:00:05.990251714] (+0.000024572) 0 stack_usage: { pid = 6, func_ptr = 0x8018AF1, usage_bytes = 1000 }
[01:00:05.990275714] (+0.000024000) 0 stack_usage: { pid = 6, func_ptr = 0x8015991, usage_bytes = 1088 }
[01:00:05.990300000] (+0.000024286) 0 stack_usage: { pid = 6, func_ptr = 0x802AC99, usage_bytes = 1112 }
[01:00:05.990325714] (+0.000025714) 0 stack_usage: { pid = 6, func_ptr = 0x8015991, usage_bytes = 1056 }
[01:00:05.990350000] (+0.000024286) 0 stack_usage: { pid = 6, func_ptr = 0x8015991, usage_bytes = 1128 }
[01:00:05.991223047] (+0.000873047) 0 stack_usage: { pid = 6, func_ptr = 0x8011971, usage_bytes = 576 }
[01:00:05.991252761] (+0.000029714) 0 stack_usage: { pid = 6, func_ptr = 0x801181D, usage_bytes = 648 }
[01:00:05.991275714] (+0.000022953) 0 stack_usage: { pid = 6, func_ptr = 0x8026261, usage_bytes = 752 }
[01:00:05.991306095] (+0.000030381) 0 stack_usage: { pid = 6, func_ptr = 0x8011999, usage_bytes = 736 }
[01:00:05.991333428] (+0.000027333) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 624 }
[01:00:05.991356476] (+0.000023048) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 624 }
[01:00:05.991418000] (+0.000061524) 0 stack_usage: { pid = 6, func_ptr = 0x8010139, usage_bytes = 480 }
[01:00:05.991526666] (+0.000108666) 0 stack_usage: { pid = 6, func_ptr = 0x8026291, usage_bytes = 424 }
[01:00:05.991551523] (+0.000024857) 0 stack_usage: { pid = 6, func_ptr = 0x8025A95, usage_bytes = 520 }
[01:00:05.991573714] (+0.000022191) 0 stack_usage: { pid = 6, func_ptr = 0x80261D5, usage_bytes = 632 }
[01:00:05.991628476] (+0.000054762) 0 stack_usage: { pid = 6, func_ptr = 0x8025D25, usage_bytes = 368 }
[01:00:05.991652285] (+0.000023809) 0 stack_usage: { pid = 6, func_ptr = 0x8024511, usage_bytes = 488 }
[01:00:05.991686380] (+0.000034095) 0 stack_usage: { pid = 6, func_ptr = 0x8019861, usage_bytes = 512 }
[01:00:05.991717047] (+0.000030667) 0 stack_usage: { pid = 6, func_ptr = 0x802BC1D, usage_bytes = 616 }
[01:00:05.991745619] (+0.000028572) 0 stack_usage: { pid = 6, func_ptr = 0x80182D9, usage_bytes = 632 }
[01:00:05.993491333] (+0.001745714) 0 stack_usage: { pid = 6, func_ptr = 0x801B3A1, usage_bytes = 712 }
