[01:00:00.000216952] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000332761] (+0.000115809) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000543047] (+0.000210286) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000581428] (+0.000038381) 0 function_usage: { pid = 5, func_ptr = 0x8005F0D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000592666] (+0.000011238) 0 function_usage: { pid = 5, func_ptr = 0x8005ECD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000602952] (+0.000010286) 0 function_usage: { pid = 5, func_ptr = 0x8005F4D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000613333] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006079, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000684380] (+0.000071047) 0 function_usage: { pid = 5, func_ptr = 0x8006079, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.000694857] (+0.000010477) 0 function_usage: { pid = 5, func_ptr = 0x8005F4D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.000705238] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x8006225, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000715619] (+0.000010381) 0 function_usage: { pid = 5, func_ptr = 0x80064F1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000758666] (+0.000043047) 0 function_usage: { pid = 5, func_ptr = 0x80064F1, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.000905238] (+0.000146572) 0 function_usage: { pid = 5, func_ptr = 0x8006161, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000939428] (+0.000034190) 0 function_usage: { pid = 6, func_ptr = 0x8006055, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000949809] (+0.000010381) 0 function_usage: { pid = 6, func_ptr = 0x8006029, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000960285] (+0.000010476) 0 function_usage: { pid = 6, func_ptr = 0x8005F71, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000971142] (+0.000010857) 0 function_usage: { pid = 6, func_ptr = 0x8006481, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.001003047] (+0.000031905) 0 function_usage: { pid = 6, func_ptr = 0x8006481, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.001013333] (+0.000010286) 0 function_usage: { pid = 6, func_ptr = 0x8005F71, fe = ( "FUNCTION_EXIT" : container = 1 ) }
