[01:00:00.000349333] (+?.?????????) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AC2, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10001770, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000422857] (+0.000073524) 0 heap_alloc: { pid = 0, fn1 = 0x8001ACE, fn2 = 0x800206E, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10001870, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.000537047] (+0.000114190) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AE6, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10001B40, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000566476] (+0.000029429) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000647238] (+0.000080762) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AC2, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10002350, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.000719333] (+0.000072095) 0 heap_alloc: { pid = 0, fn1 = 0x8001ACE, fn2 = 0x800206E, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10002450, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.000833619] (+0.000114286) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AE6, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10002720, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.000863142] (+0.000029523) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000947047] (+0.000083905) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AC2, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10002F30, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.001019238] (+0.000072191) 0 heap_alloc: { pid = 0, fn1 = 0x8001ACE, fn2 = 0x800206E, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003030, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.001133619] (+0.000114381) 0 heap_alloc: { pid = 0, fn1 = 0x8001BE6, fn2 = 0x8001AE6, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10003300, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.001220857] (+0.000087238) 0 heap_alloc: { pid = 4, fn1 = 0x8001B7E, fn2 = 0x8001AC2, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003B10, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:00.001293428] (+0.000072571) 0 heap_alloc: { pid = 4, fn1 = 0x8001ACE, fn2 = 0x800206E, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003C10, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:00.001408380] (+0.000114952) 0 heap_alloc: { pid = 4, fn1 = 0x8001B7E, fn2 = 0x8001AE6, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10003EE0, real_alloc = 2072, user_alloc = 2064, user_req = 2048 }
[01:00:00.001438380] (+0.000030000) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.001465047] (+0.000026667) 0 heap_free: { pid = 4, address = 0x10003030, real_alloc = 728, user_alloc = 720 }
[01:00:00.001485714] (+0.000020667) 0 heap_free: { pid = 5, address = 0x10003300, real_alloc = 2072, user_alloc = 2064 }
[01:00:00.001501809] (+0.000016095) 0 heap_free: { pid = 5, address = 0x10002F30, real_alloc = 264, user_alloc = 256 }
[01:00:00.001568095] (+0.000066286) 0 heap_alloc: { pid = 5, fn1 = 0x8008744, fn2 = 0x8032806, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10002F30, real_alloc = 264, user_alloc = 256, user_req = 248 }
[01:00:00.001640952] (+0.000072857) 0 heap_alloc: { pid = 5, fn1 = 0x8008744, fn2 = 0x8032824, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003030, real_alloc = 40, user_alloc = 32, user_req = 20 }
[01:00:00.001704000] (+0.000063048) 0 heap_alloc: { pid = 5, fn1 = 0x8008744, fn2 = 0x8032868, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10003050, real_alloc = 1592, user_alloc = 1584, user_req = 1568 }
[01:00:00.001809428] (+0.000105428) 0 heap_alloc: { pid = 5, fn1 = 0x8008818, fn2 = 0x8008E64, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003680, real_alloc = 696, user_alloc = 688, user_req = 680 }
[01:00:00.001904095] (+0.000094667) 0 heap_alloc: { pid = 5, fn1 = 0x8008834, fn2 = 0x80348D6, fn3 = 0x803AE4C, fn4 = 0x800597C, address = 0x100046F0, real_alloc = 792, user_alloc = 784, user_req = 764 }
[01:00:00.002006857] (+0.000102762) 0 heap_alloc: { pid = 5, fn1 = 0x802FAF2, fn2 = 0x802FA34, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003930, real_alloc = 56, user_alloc = 48, user_req = 31 }
[01:00:00.002088000] (+0.000081143) 0 heap_alloc: { pid = 5, fn1 = 0x802FAF2, fn2 = 0x802FA34, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003960, real_alloc = 56, user_alloc = 48, user_req = 31 }
[01:00:00.002155809] (+0.000067809) 0 heap_alloc: { pid = 5, fn1 = 0x803A9E2, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10003990, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002219714] (+0.000063905) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803A9E2, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x100039B0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:00.002285809] (+0.000066095) 0 heap_alloc: { pid = 5, fn1 = 0x803AA5E, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10003A00, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002349619] (+0.000063810) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA5E, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10003A20, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:00.002413904] (+0.000064285) 0 heap_alloc: { pid = 5, fn1 = 0x803AA5E, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10003A70, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002477714] (+0.000063810) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA5E, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10003A90, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:00.002541809] (+0.000064095) 0 heap_alloc: { pid = 5, fn1 = 0x803AA5E, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10003AE0, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002606476] (+0.000064667) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA5E, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004A00, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:00.002671619] (+0.000065143) 0 heap_alloc: { pid = 5, fn1 = 0x803AA5E, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10004A50, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002736095] (+0.000064476) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA5E, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004A70, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:00.002801238] (+0.000065143) 0 heap_alloc: { pid = 5, fn1 = 0x803AA86, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10004AC0, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002865809] (+0.000064571) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA86, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004AE0, real_alloc = 120, user_alloc = 112, user_req = 96 }
[01:00:00.002931238] (+0.000065429) 0 heap_alloc: { pid = 5, fn1 = 0x803AA86, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10004B50, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.002995809] (+0.000064571) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA86, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004B70, real_alloc = 120, user_alloc = 112, user_req = 96 }
[01:00:00.003061333] (+0.000065524) 0 heap_alloc: { pid = 5, fn1 = 0x803AA86, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10004BE0, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.003126000] (+0.000064667) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA86, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004C00, real_alloc = 120, user_alloc = 112, user_req = 96 }
[01:00:00.003191428] (+0.000065428) 0 heap_alloc: { pid = 5, fn1 = 0x803AA86, fn2 = 0x803A2EE, fn3 = 0x8006582, fn4 = 0x800597C, address = 0x10004C70, real_alloc = 40, user_alloc = 32, user_req = 24 }
[01:00:00.003256000] (+0.000064572) 0 heap_alloc: { pid = 5, fn1 = 0x80075B0, fn2 = 0x803AA86, fn3 = 0x803A2FA, fn4 = 0x800597C, address = 0x10004C90, real_alloc = 120, user_alloc = 112, user_req = 96 }
[01:00:01.749471428] (+1.746215428) 0 heap_free: { pid = 6, address = 0x10003030, real_alloc = 40, user_alloc = 32 }
[01:00:01.749531428] (+0.000060000) 0 heap_free: { pid = 0, address = 0x10003050, real_alloc = 1592, user_alloc = 1584 }
[01:00:01.749547714] (+0.000016286) 0 heap_free: { pid = 0, address = 0x10002F30, real_alloc = 264, user_alloc = 256 }
[01:00:01.749565238] (+0.000017524) 0 thread_create: { thread_id = 6, name = "netinit" }
[01:00:02.939943809] (+1.190378571) 0 heap_alloc: { pid = 5, fn1 = 0x800887C, fn2 = 0x80087DA, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x10002F30, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:02.940019714] (+0.000075905) 0 heap_alloc: { pid = 5, fn1 = 0x800887C, fn2 = 0x80087E2, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x10002F80, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:02.940086761] (+0.000067047) 0 heap_alloc: { pid = 5, fn1 = 0x80085FC, fn2 = 0x800887C, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x10002FD0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:06.417690476] (+3.477603715) 0 heap_alloc: { pid = 5, fn1 = 0x8001B7E, fn2 = 0x8001AC2, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003020, real_alloc = 264, user_alloc = 256, user_req = 240 }
[01:00:06.417771428] (+0.000080952) 0 heap_alloc: { pid = 5, fn1 = 0x8001ACE, fn2 = 0x800206E, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003120, real_alloc = 728, user_alloc = 720, user_req = 712 }
[01:00:06.417897904] (+0.000126476) 0 heap_alloc: { pid = 5, fn1 = 0x8001AD8, fn2 = 0x8002BE2, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x100033F0, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:06.417964761] (+0.000066857) 0 heap_alloc: { pid = 5, fn1 = 0x8001AD8, fn2 = 0x8002BEC, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x10003440, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:06.418031619] (+0.000066858) 0 heap_alloc: { pid = 5, fn1 = 0x8001AD8, fn2 = 0x8002BF6, fn3 = 0x802E158, fn4 = 0x800597C, address = 0x10003490, real_alloc = 88, user_alloc = 80, user_req = 64 }
[01:00:06.418094952] (+0.000063333) 0 heap_alloc: { pid = 5, fn1 = 0x8001B7E, fn2 = 0x8001AE6, fn3 = 0x8005B70, fn4 = 0x800597C, address = 0x10004D00, real_alloc = 20024, user_alloc = 20016, user_req = 20000 }
[01:00:06.418126095] (+0.000031143) 0 thread_create: { thread_id = 7, name = "microros" }
[01:00:06.418175142] (+0.000049047) 0 measurement_start:
[01:00:06.418234476] (+0.000059334) 0 heap_alloc: { pid = 7, fn1 = 0x800DD00, fn2 = 0x800DF4C, fn3 = 0x800DE72, fn4 = 0x800597C, address = 0x100034E0, real_alloc = 104, user_alloc = 96, user_req = 80 }
[01:00:06.418301333] (+0.000066857) 0 heap_alloc: { pid = 7, fn1 = 0x800DD00, fn2 = 0x800DF68, fn3 = 0x8011820, fn4 = 0x800597C, address = 0x10003540, real_alloc = 56, user_alloc = 48, user_req = 28 }
[01:00:06.418396476] (+0.000095143) 0 heap_alloc: { pid = 7, fn1 = 0x80103CE, fn2 = 0x801FC0A, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10003570, real_alloc = 136, user_alloc = 128, user_req = 120 }
[01:00:06.418472476] (+0.000076000) 0 heap_alloc: { pid = 7, fn1 = 0x80365F8, fn2 = 0x800E04A, fn3 = 0x800DE72, fn4 = 0x800597C, address = 0x100035F0, real_alloc = 104, user_alloc = 96, user_req = 80 }
[01:00:06.418543809] (+0.000071333) 0 heap_alloc: { pid = 7, fn1 = 0x800E05C, fn2 = 0x80118E4, fn3 = 0x80239E6, fn4 = 0x800597C, address = 0x10003650, real_alloc = 56, user_alloc = 48, user_req = 28 }
[01:00:06.418663047] (+0.000119238) 0 heap_alloc: { pid = 7, fn1 = 0x8017F92, fn2 = 0x8035050, fn3 = 0x80059FA, fn4 = 0x800597C, address = 0x10009B30, real_alloc = 88, user_alloc = 80, user_req = 60 }
[01:00:06.418689428] (+0.000026381) 0 heap_free: { pid = 7, address = 0x10009B30, real_alloc = 88, user_alloc = 80 }
[01:00:06.419074761] (+0.000385333) 0 heap_alloc: { pid = 7, fn1 = 0x801808E, fn2 = 0x802D8EA, fn3 = 0x802B5BC, fn4 = 0x800597C, address = 0x10009B30, real_alloc = 40, user_alloc = 32, user_req = 16 }
[01:00:06.432722285] (+0.013647524) 0 heap_free: { pid = 7, address = 0x10009B30, real_alloc = 40, user_alloc = 32 }
[01:00:06.432822857] (+0.000100572) 0 heap_alloc: { pid = 7, fn1 = 0x801059C, fn2 = 0x801052A, fn3 = 0x800E350, fn4 = 0x800597C, address = 0x10009B30, real_alloc = 136, user_alloc = 128, user_req = 120 }
[01:00:06.432910761] (+0.000087904) 0 heap_alloc: { pid = 7, fn1 = 0x801052A, fn2 = 0x800E3CE, fn3 = 0x8010E76, fn4 = 0x800597C, address = 0x10009BB0, real_alloc = 40, user_alloc = 32, user_req = 22 }
