[01:00:00.000229904] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000354380] (+0.000124476) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000579047] (+0.000224667) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000625714] (+0.000046667) 0 stack_usage: { pid = 5, func_ptr = 0x80085AD, usage_bytes = 72 }
[01:00:00.000638857] (+0.000013143) 0 stack_usage: { pid = 5, func_ptr = 0x800855D, usage_bytes = 96 }
[01:00:00.000651047] (+0.000012190) 0 stack_usage: { pid = 5, func_ptr = 0x8008605, usage_bytes = 112 }
[01:00:00.000663428] (+0.000012381) 0 stack_usage: { pid = 5, func_ptr = 0x80087C5, usage_bytes = 152 }
[01:00:00.000928857] (+0.000265429) 0 stack_usage: { pid = 5, func_ptr = 0x80088E9, usage_bytes = 168 }
[01:00:00.000967714] (+0.000038857) 0 stack_usage: { pid = 6, func_ptr = 0x8008791, usage_bytes = 72 }
[01:00:00.000980095] (+0.000012381) 0 stack_usage: { pid = 6, func_ptr = 0x8008749, usage_bytes = 88 }
[01:00:00.000992380] (+0.000012285) 0 stack_usage: { pid = 6, func_ptr = 0x8008641, usage_bytes = 112 }
[01:00:00.001004952] (+0.000012572) 0 stack_usage: { pid = 6, func_ptr = 0x8008CED, usage_bytes = 160 }
[01:00:00.001045333] (+0.000040381) 0 stack_usage: { pid = 6, func_ptr = 0x8008B35, usage_bytes = 168 }
[01:00:01.612727809] (+1.611682476) 0 thread_create: { thread_id = 6, name = "netinit" }
[01:00:03.183700952] (+1.570973143) 0 stack_usage: { pid = 5, func_ptr = 0x8008855, usage_bytes = 192 }
[01:00:03.183882761] (+0.000181809) 0 stack_usage: { pid = 5, func_ptr = 0x80092E1, usage_bytes = 224 }
[01:00:03.183895428] (+0.000012667) 0 stack_usage: { pid = 5, func_ptr = 0x8009491, usage_bytes = 272 }
[01:00:03.183908190] (+0.000012762) 0 stack_usage: { pid = 5, func_ptr = 0x8009359, usage_bytes = 304 }
[01:00:03.399519904] (+0.215611714) 0 stack_usage: { pid = 5, func_ptr = 0x800A165, usage_bytes = 352 }
[01:00:03.399535714] (+0.000015810) 0 stack_usage: { pid = 5, func_ptr = 0x8009859, usage_bytes = 408 }
[01:00:03.399552761] (+0.000017047) 0 stack_usage: { pid = 5, func_ptr = 0x8009DC9, usage_bytes = 408 }
[01:00:04.110936380] (+0.711383619) 0 stack_usage: { pid = 5, func_ptr = 0x80093F9, usage_bytes = 296 }
[01:00:04.649745523] (+0.538809143) 0 stack_usage: { pid = 5, func_ptr = 0x8009451, usage_bytes = 296 }
[01:00:04.909849714] (+0.260104191) 0 stack_usage: { pid = 5, func_ptr = 0x800A3BD, usage_bytes = 208 }
[01:00:04.909877238] (+0.000027524) 0 stack_usage: { pid = 5, func_ptr = 0x8009805, usage_bytes = 432 }
[01:00:04.909908952] (+0.000031714) 0 stack_usage: { pid = 5, func_ptr = 0x8009859, usage_bytes = 408 }
[01:00:04.909924380] (+0.000015428) 0 stack_usage: { pid = 5, func_ptr = 0x800D2D1, usage_bytes = 464 }
[01:00:04.909937904] (+0.000013524) 0 stack_usage: { pid = 5, func_ptr = 0x800E379, usage_bytes = 544 }
[01:00:04.909951142] (+0.000013238) 0 stack_usage: { pid = 5, func_ptr = 0x800E8CD, usage_bytes = 592 }
[01:00:04.910089142] (+0.000138000) 0 thread_create: { thread_id = 7, name = "microros" }
[01:00:04.910121047] (+0.000031905) 0 stack_usage: { pid = 7, func_ptr = 0x800F1F5, usage_bytes = 312 }
[01:00:04.910132666] (+0.000011619) 0 measurement_start:
[01:00:04.910144095] (+0.000011429) 0 stack_usage: { pid = 7, func_ptr = 0x8012889, usage_bytes = 344 }
[01:00:04.910159047] (+0.000014952) 0 stack_usage: { pid = 7, func_ptr = 0x800F5BD, usage_bytes = 368 }
[01:00:04.910172095] (+0.000013048) 0 stack_usage: { pid = 7, func_ptr = 0x80128E1, usage_bytes = 392 }
[01:00:04.910185809] (+0.000013714) 0 stack_usage: { pid = 7, func_ptr = 0x800F529, usage_bytes = 464 }
[01:00:04.910198857] (+0.000013048) 0 stack_usage: { pid = 7, func_ptr = 0x8012AE5, usage_bytes = 488 }
[01:00:04.910220095] (+0.000021238) 0 stack_usage: { pid = 7, func_ptr = 0x80138BD, usage_bytes = 512 }
[01:00:04.910266666] (+0.000046571) 0 stack_usage: { pid = 7, func_ptr = 0x800F499, usage_bytes = 328 }
[01:00:04.910304000] (+0.000037334) 0 stack_usage: { pid = 7, func_ptr = 0x8028C79, usage_bytes = 544 }
[01:00:04.910317238] (+0.000013238) 0 stack_usage: { pid = 7, func_ptr = 0x80128E1, usage_bytes = 568 }
[01:00:04.910330761] (+0.000013523) 0 stack_usage: { pid = 7, func_ptr = 0x8012A01, usage_bytes = 568 }
[01:00:04.910354857] (+0.000024096) 0 stack_usage: { pid = 7, func_ptr = 0x80137B1, usage_bytes = 592 }
[01:00:04.910370476] (+0.000015619) 0 stack_usage: { pid = 7, func_ptr = 0x80138BD, usage_bytes = 616 }
[01:00:04.910388571] (+0.000018095) 0 stack_usage: { pid = 7, func_ptr = 0x800F709, usage_bytes = 1600 }
[01:00:04.910401714] (+0.000013143) 0 stack_usage: { pid = 7, func_ptr = 0x80128E1, usage_bytes = 1624 }
[01:00:04.910415619] (+0.000013905) 0 stack_usage: { pid = 7, func_ptr = 0x800F529, usage_bytes = 1696 }
[01:00:04.910428761] (+0.000013142) 0 stack_usage: { pid = 7, func_ptr = 0x8012AE5, usage_bytes = 1720 }
[01:00:04.910449809] (+0.000021048) 0 stack_usage: { pid = 7, func_ptr = 0x80138BD, usage_bytes = 1744 }
[01:00:04.910489047] (+0.000039238) 0 stack_usage: { pid = 7, func_ptr = 0x802CB39, usage_bytes = 672 }
[01:00:04.910520571] (+0.000031524) 0 stack_usage: { pid = 7, func_ptr = 0x8013B05, usage_bytes = 1160 }
[01:00:04.910553904] (+0.000033333) 0 stack_usage: { pid = 7, func_ptr = 0x802E711, usage_bytes = 624 }
[01:00:04.910583714] (+0.000029810) 0 stack_usage: { pid = 7, func_ptr = 0x802E7A1, usage_bytes = 632 }
[01:00:04.910919238] (+0.000335524) 0 stack_usage: { pid = 7, func_ptr = 0x801A405, usage_bytes = 608 }
[01:00:04.910954476] (+0.000035238) 0 stack_usage: { pid = 7, func_ptr = 0x8033ABD, usage_bytes = 776 }
[01:00:04.910987714] (+0.000033238) 0 stack_usage: { pid = 7, func_ptr = 0x803465D, usage_bytes = 728 }
[01:00:04.911014857] (+0.000027143) 0 stack_usage: { pid = 7, func_ptr = 0x801CB41, usage_bytes = 728 }
[01:00:04.911042857] (+0.000028000) 0 stack_usage: { pid = 7, func_ptr = 0x801CB41, usage_bytes = 704 }
[01:00:04.911070095] (+0.000027238) 0 stack_usage: { pid = 7, func_ptr = 0x80342E5, usage_bytes = 824 }
[01:00:04.911097714] (+0.000027619) 0 stack_usage: { pid = 7, func_ptr = 0x8033ABD, usage_bytes = 816 }
[01:00:04.911126000] (+0.000028286) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 888 }
[01:00:04.911155142] (+0.000029142) 0 stack_usage: { pid = 7, func_ptr = 0x8020F75, usage_bytes = 832 }
[01:00:04.911182285] (+0.000027143) 0 stack_usage: { pid = 7, func_ptr = 0x801EEA9, usage_bytes = 864 }
[01:00:04.911210857] (+0.000028572) 0 stack_usage: { pid = 7, func_ptr = 0x8016D45, usage_bytes = 888 }
[01:00:04.911240476] (+0.000029619) 0 stack_usage: { pid = 7, func_ptr = 0x801E2CD, usage_bytes = 840 }
[01:00:04.911269047] (+0.000028571) 0 stack_usage: { pid = 7, func_ptr = 0x801A531, usage_bytes = 744 }
[01:00:05.911457809] (+1.000188762) 0 stack_usage: { pid = 7, func_ptr = 0x801BCA9, usage_bytes = 744 }
[01:00:05.914284571] (+0.002826762) 0 stack_usage: { pid = 7, func_ptr = 0x80190C5, usage_bytes = 816 }
[01:00:05.914314190] (+0.000029619) 0 stack_usage: { pid = 7, func_ptr = 0x801B589, usage_bytes = 840 }
[01:00:05.914341428] (+0.000027238) 0 stack_usage: { pid = 7, func_ptr = 0x801702D, usage_bytes = 1056 }
[01:00:05.914369333] (+0.000027905) 0 stack_usage: { pid = 7, func_ptr = 0x8018B79, usage_bytes = 1120 }
[01:00:05.914397238] (+0.000027905) 0 stack_usage: { pid = 7, func_ptr = 0x802FA15, usage_bytes = 1168 }
[01:00:05.914426476] (+0.000029238) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1048 }
[01:00:05.914463047] (+0.000036571) 0 stack_usage: { pid = 7, func_ptr = 0x80124C1, usage_bytes = 520 }
[01:00:05.914489619] (+0.000026572) 0 stack_usage: { pid = 7, func_ptr = 0x802CB99, usage_bytes = 832 }
[01:00:05.914519047] (+0.000029428) 0 stack_usage: { pid = 7, func_ptr = 0x8013C4D, usage_bytes = 800 }
[01:00:05.914545809] (+0.000026762) 0 stack_usage: { pid = 7, func_ptr = 0x8013C4D, usage_bytes = 800 }
[01:00:05.914580285] (+0.000034476) 0 stack_usage: { pid = 7, func_ptr = 0x800FF81, usage_bytes = 744 }
[01:00:05.914648857] (+0.000068572) 0 stack_usage: { pid = 7, func_ptr = 0x80135D9, usage_bytes = 872 }
[01:00:05.914690095] (+0.000041238) 0 stack_usage: { pid = 7, func_ptr = 0x802EA65, usage_bytes = 816 }
[01:00:05.914741809] (+0.000051714) 0 stack_usage: { pid = 7, func_ptr = 0x8018D75, usage_bytes = 1496 }
[01:00:05.914770761] (+0.000028952) 0 stack_usage: { pid = 7, func_ptr = 0x8017679, usage_bytes = 1536 }
[01:00:05.914801238] (+0.000030477) 0 stack_usage: { pid = 7, func_ptr = 0x8034DA5, usage_bytes = 1680 }
[01:00:05.914826857] (+0.000025619) 0 stack_usage: { pid = 7, func_ptr = 0x8018D05, usage_bytes = 1728 }
[01:00:05.914840190] (+0.000013333) 0 stack_usage: { pid = 7, func_ptr = 0x8018C79, usage_bytes = 1776 }
[01:00:05.914868666] (+0.000028476) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1664 }
[01:00:05.914896857] (+0.000028191) 0 stack_usage: { pid = 7, func_ptr = 0x802F60D, usage_bytes = 1608 }
[01:00:05.914925142] (+0.000028285) 0 stack_usage: { pid = 7, func_ptr = 0x8023AC1, usage_bytes = 1568 }
[01:00:05.914952857] (+0.000027715) 0 stack_usage: { pid = 7, func_ptr = 0x802F60D, usage_bytes = 1704 }
[01:00:05.914985904] (+0.000033047) 0 stack_usage: { pid = 7, func_ptr = 0x801CB41, usage_bytes = 984 }
[01:00:05.915013714] (+0.000027810) 0 stack_usage: { pid = 7, func_ptr = 0x8018DDD, usage_bytes = 1048 }
[01:00:05.915041714] (+0.000028000) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1104 }
[01:00:05.915096000] (+0.000054286) 0 stack_usage: { pid = 7, func_ptr = 0x8035419, usage_bytes = 1016 }
[01:00:05.915128380] (+0.000032380) 0 stack_usage: { pid = 7, func_ptr = 0x801D779, usage_bytes = 1088 }
[01:00:05.921024190] (+0.005895810) 0 stack_usage: { pid = 7, func_ptr = 0x8018B79, usage_bytes = 1152 }
[01:00:05.921054476] (+0.000030286) 0 stack_usage: { pid = 7, func_ptr = 0x8033F15, usage_bytes = 1176 }
[01:00:05.921081904] (+0.000027428) 0 stack_usage: { pid = 7, func_ptr = 0x8018FBD, usage_bytes = 1288 }
[01:00:05.921109714] (+0.000027810) 0 stack_usage: { pid = 7, func_ptr = 0x8018B79, usage_bytes = 1368 }
[01:00:05.921139238] (+0.000029524) 0 stack_usage: { pid = 7, func_ptr = 0x8018B79, usage_bytes = 1360 }
[01:00:05.921167523] (+0.000028285) 0 stack_usage: { pid = 7, func_ptr = 0x8022B25, usage_bytes = 1280 }
[01:00:05.921194476] (+0.000026953) 0 stack_usage: { pid = 7, func_ptr = 0x801702D, usage_bytes = 1304 }
[01:00:05.921222761] (+0.000028285) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1312 }
[01:00:05.921251619] (+0.000028858) 0 stack_usage: { pid = 7, func_ptr = 0x8018C79, usage_bytes = 1312 }
[01:00:05.921279523] (+0.000027904) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1336 }
[01:00:05.921308761] (+0.000029238) 0 stack_usage: { pid = 7, func_ptr = 0x801F865, usage_bytes = 1248 }
[01:00:05.921337809] (+0.000029048) 0 stack_usage: { pid = 7, func_ptr = 0x8018DDD, usage_bytes = 1320 }
[01:00:05.921365714] (+0.000027905) 0 stack_usage: { pid = 7, func_ptr = 0x8018F49, usage_bytes = 1376 }
[01:00:05.921430190] (+0.000064476) 0 stack_usage: { pid = 7, func_ptr = 0x80288E5, usage_bytes = 824 }
[01:00:05.921457619] (+0.000027429) 0 stack_usage: { pid = 7, func_ptr = 0x8012AE5, usage_bytes = 848 }
[01:00:05.921507047] (+0.000049428) 0 stack_usage: { pid = 7, func_ptr = 0x80128E1, usage_bytes = 608 }
[01:00:05.921533238] (+0.000026191) 0 stack_usage: { pid = 7, func_ptr = 0x802CB39, usage_bytes = 752 }
[01:00:05.921559523] (+0.000026285) 0 stack_usage: { pid = 7, func_ptr = 0x8028FC5, usage_bytes = 2808 }
[01:00:05.921572666] (+0.000013143) 0 stack_usage: { pid = 7, func_ptr = 0x802D2FD, usage_bytes = 2832 }
