[01:00:00.000209333] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000322285] (+0.000112952) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000524857] (+0.000202572) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000569238] (+0.000044381) 0 function_usage: { pid = 5, func_ptr = 0x8007B1D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000581523] (+0.000012285) 0 function_usage: { pid = 5, func_ptr = 0x8007ACD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000593333] (+0.000011810) 0 function_usage: { pid = 5, func_ptr = 0x8007B75, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000604857] (+0.000011524) 0 function_usage: { pid = 5, func_ptr = 0x8007B75, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.000616380] (+0.000011523) 0 function_usage: { pid = 5, func_ptr = 0x8007D35, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000628095] (+0.000011715) 0 function_usage: { pid = 5, func_ptr = 0x8007D8D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000673238] (+0.000045143) 0 function_usage: { pid = 5, func_ptr = 0x8007D8D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:00.000828095] (+0.000154857) 0 function_usage: { pid = 5, func_ptr = 0x8007C41, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:00.000865428] (+0.000037333) 0 thread_create: { thread_id = 4294934877, name = "" }
[01:00:07.002575142] (+7.001709714) 0 function_usage: { pid = 5, func_ptr = 0x8007BAD, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.002640571] (+0.000065429) 0 function_usage: { pid = 5, func_ptr = 0x8007BAD, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.002652857] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x8007C41, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.002665523] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x8008239, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.002799904] (+0.000134381) 0 function_usage: { pid = 5, func_ptr = 0x80082F5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.002812666] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x80084A5, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.002829904] (+0.000017238) 0 function_usage: { pid = 5, func_ptr = 0x800836D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.002854285] (+0.000024381) 0 function_usage: { pid = 5, func_ptr = 0x800836D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.002866666] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.971320952] (+0.968454286) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.971342571] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.971354857] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.971367523] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:07.971390666] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:07.971403428] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.152939142] (+0.181535714) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.152960761] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.152973142] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.152985809] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.153008952] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.153021619] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.222492952] (+0.069471333) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.222514571] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.222526952] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.222539619] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.222562761] (+0.000023142) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.222575523] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.445173333] (+0.222597810) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.445194857] (+0.000021524) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.445207142] (+0.000012285) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.445219809] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.445242952] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.445255714] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.525602190] (+0.080346476) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.525623809] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.525636095] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.525648761] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:08.525671904] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:08.525689047] (+0.000017143) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.163201714] (+0.637512667) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.163226190] (+0.000024476) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.163238571] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.163251238] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.163274285] (+0.000023047) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.163287047] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.266690285] (+0.103403238) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.266711809] (+0.000021524) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.266724190] (+0.000012381) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.266736857] (+0.000012667) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.266760000] (+0.000023143) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.266772666] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384800190] (+0.118027524) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384821714] (+0.000021524) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384834000] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x8008465, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384846666] (+0.000012666) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.384869714] (+0.000023048) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.384882476] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427188285] (+0.042305809) 0 function_usage: { pid = 5, func_ptr = 0x800840D, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427209904] (+0.000021619) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427233714] (+0.000023810) 0 function_usage: { pid = 5, func_ptr = 0x80083B9, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427250571] (+0.000016857) 0 function_usage: { pid = 5, func_ptr = 0x80084A5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427262857] (+0.000012286) 0 function_usage: { pid = 5, func_ptr = 0x80082F5, fe = ( "FUNCTION_EXIT" : container = 1 ) }
[01:00:09.427275619] (+0.000012762) 0 function_usage: { pid = 5, func_ptr = 0x80093D1, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427292380] (+0.000016761) 0 function_usage: { pid = 5, func_ptr = 0x8009179, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427307238] (+0.000014858) 0 function_usage: { pid = 5, func_ptr = 0x800886D, fe = ( "FUNCTION_ENTER" : container = 0 ) }
[01:00:09.427324285] (+0.000017047) 0 function_usage: { pid = 5, func_ptr = 0x8008819, fe = ( "FUNCTION_ENTER" : container = 0 ) }
