[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:00.000322095] (+0.000112953) 0 thread_create: { thread_id = 3, name = "lpwork" }
[01:00:00.000524666] (+0.000202571) 0 thread_create: { thread_id = 5, name = "init" }
[01:00:00.000771809] (+0.000247143) 0 thread_create: { thread_id = 32361, name = "" }
[01:00:07.865550761] (+7.864778952) 0 thread_create: { thread_id = 6, name = "microros" }
[01:00:07.865589809] (+0.000039048) 0 stack_usage: { pid = 6, func_ptr = 0x800BD15, usage_bytes = 320 }
[01:00:07.865601428] (+0.000011619) 0 measurement_start:
[01:00:07.865612666] (+0.000011238) 0 stack_usage: { pid = 6, func_ptr = 0x800F3B9, usage_bytes = 352 }
[01:00:07.865627809] (+0.000015143) 0 stack_usage: { pid = 6, func_ptr = 0x800C0E9, usage_bytes = 376 }
[01:00:07.865640857] (+0.000013048) 0 stack_usage: { pid = 6, func_ptr = 0x800F411, usage_bytes = 400 }
[01:00:07.865654380] (+0.000013523) 0 stack_usage: { pid = 6, func_ptr = 0x800C055, usage_bytes = 472 }
[01:00:07.865667428] (+0.000013048) 0 stack_usage: { pid = 6, func_ptr = 0x800F615, usage_bytes = 496 }
[01:00:07.865689142] (+0.000021714) 0 stack_usage: { pid = 6, func_ptr = 0x80103ED, usage_bytes = 520 }
[01:00:07.865703523] (+0.000014381) 0 stack_usage: { pid = 6, func_ptr = 0x8010B11, usage_bytes = 432 }
[01:00:07.865760952] (+0.000057429) 0 stack_usage: { pid = 6, func_ptr = 0x802A4F1, usage_bytes = 456 }
[01:00:07.865779428] (+0.000018476) 0 stack_usage: { pid = 6, func_ptr = 0x80265D1, usage_bytes = 552 }
[01:00:07.865792761] (+0.000013333) 0 stack_usage: { pid = 6, func_ptr = 0x800F411, usage_bytes = 576 }
[01:00:07.865819333] (+0.000026572) 0 stack_usage: { pid = 6, func_ptr = 0x80102E1, usage_bytes = 600 }
[01:00:07.865834857] (+0.000015524) 0 stack_usage: { pid = 6, func_ptr = 0x80103ED, usage_bytes = 624 }
[01:00:07.865852761] (+0.000017904) 0 stack_usage: { pid = 6, func_ptr = 0x800C235, usage_bytes = 1608 }
[01:00:07.865865904] (+0.000013143) 0 stack_usage: { pid = 6, func_ptr = 0x800F411, usage_bytes = 1632 }
[01:00:07.865879523] (+0.000013619) 0 stack_usage: { pid = 6, func_ptr = 0x800C055, usage_bytes = 1704 }
[01:00:07.865892476] (+0.000012953) 0 stack_usage: { pid = 6, func_ptr = 0x800F615, usage_bytes = 1728 }
[01:00:07.865914190] (+0.000021714) 0 stack_usage: { pid = 6, func_ptr = 0x80103ED, usage_bytes = 1752 }
[01:00:07.865949714] (+0.000035524) 0 stack_usage: { pid = 6, func_ptr = 0x8026579, usage_bytes = 592 }
[01:00:07.865976190] (+0.000026476) 0 stack_usage: { pid = 6, func_ptr = 0x802A491, usage_bytes = 632 }
[01:00:07.866012095] (+0.000035905) 0 stack_usage: { pid = 6, func_ptr = 0x801234D, usage_bytes = 616 }
[01:00:07.866040761] (+0.000028666) 0 stack_usage: { pid = 6, func_ptr = 0x80121C9, usage_bytes = 616 }
[01:00:07.866093904] (+0.000053143) 0 stack_usage: { pid = 6, func_ptr = 0x8016E91, usage_bytes = 696 }
[01:00:07.866333904] (+0.000240000) 0 stack_usage: { pid = 6, func_ptr = 0x8017A89, usage_bytes = 632 }
